persistentid,venueid,utc_date,utc_hour,local_date,local_hour,gender,age,full_panel_reweighted_sag_score,dwell,home_zip,venuename,address,city,dma,state,country,geolat,geolong,catid,catname,level1catId,level1cat,level2catId,level2cat,level3catId,level3cat,chainid,chainname,parentvenueid,zip,sample
0,436e9900f964a520e0291fe3,2020-05-21,13,2020-05-21,8,Male,Age_30_to_34,92.61884852185736,214,78727.0,Central Market,4001 N Lamar Blvd,Austin,"Austin, TX",TX,US,30.307400900562403,-97.74027247194608,4bf58dd8d48988d1f5941735,Gourmet Shops,4d4b7105d754a06378d81259,Shops & Services,4bf58dd8d48988d1f9941735,Food & Drink Shops,4bf58dd8d48988d1f5941735,Gourmet Shops,556f410ebd6a007c7738541c,Central Market,,78756,us_all
35,436e9900f964a520e0291fe3,2020-05-21,17,2020-05-21,12,Female,Age_40_to_44,88.79781524534367,308,,Central Market,4001 N Lamar Blvd,Austin,"Austin, TX",TX,US,30.307400900562403,-97.74027247194608,4bf58dd8d48988d1f5941735,Gourmet Shops,4d4b7105d754a06378d81259,Shops & Services,4bf58dd8d48988d1f9941735,Food & Drink Shops,4bf58dd8d48988d1f5941735,Gourmet Shops,556f410ebd6a007c7738541c,Central Market,,78756,us_all
25,49bef9c8f964a520fc541fe3,2020-05-17,17,2020-05-17,12,Male,Age_45_to_49,112.91943754850752,342,78752.0,la Madeleine French Bakery & Café Arboretum,9828 Great Hills Trl Ste 650,Austin,"Austin, TX",TX,US,30.395688129418872,-97.7471708988494,4bf58dd8d48988d10c941735,French Restaurants,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d10c941735,French Restaurants,,,5569fe7da7c8896abe7dbf9e,la Madeleine Country French Café,,78759,us_all
39,49f5e4f2f964a520cd6b1fe3,2020-05-26,16,2020-05-26,11,Male,Age_40_to_44,87.00381122088753,123,,Chick-fil-A,110 Louis Henna Blvd,Round Rock,"Austin, TX",TX,US,30.481579982848128,-97.67185996807288,4bf58dd8d48988d16e941735,Fast Food Restaurants,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d16e941735,Fast Food Restaurants,,,556e1846a7c82e6b72513d6b,Chick-fil-A,,78664,us_all
35,49f5e4f2f964a520cd6b1fe3,2020-05-05,14,2020-05-05,9,Female,Age_40_to_44,106.33316292864188,887,,Chick-fil-A,110 Louis Henna Blvd,Round Rock,"Austin, TX",TX,US,30.481579982848128,-97.67185996807288,4bf58dd8d48988d16e941735,Fast Food Restaurants,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d16e941735,Fast Food Restaurants,,,556e1846a7c82e6b72513d6b,Chick-fil-A,,78664,us_all
87,49f5e4f2f964a520cd6b1fe3,2020-05-26,12,2020-05-26,7,Male,Age_25_to_29,86.65151409646012,132,,Chick-fil-A,110 Louis Henna Blvd,Round Rock,"Austin, TX",TX,US,30.481579982848128,-97.67185996807288,4bf58dd8d48988d16e941735,Fast Food Restaurants,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d16e941735,Fast Food Restaurants,,,556e1846a7c82e6b72513d6b,Chick-fil-A,,78664,us_all
68,4a639726f964a52066c51fe3,2020-05-03,14,2020-05-03,9,Female,Age_50_to_54,368.3893067914293,82,24983.0,McDonald's,10732 Research Blvd,Austin,"Austin, TX",TX,US,30.39914846420288,-97.746892,4bf58dd8d48988d16e941735,Fast Food Restaurants,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d16e941735,Fast Food Restaurants,,,556f7a12bd6a75a9903bddb2,McDonald's,,78759,us_all
87,4a639726f964a52066c51fe3,2020-05-13,11,2020-05-13,6,Male,Age_25_to_29,88.27762580743583,252,,McDonald's,10732 Research Blvd,Austin,"Austin, TX",TX,US,30.39914846420288,-97.746892,4bf58dd8d48988d16e941735,Fast Food Restaurants,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d16e941735,Fast Food Restaurants,,,556f7a12bd6a75a9903bddb2,McDonald's,,78759,us_all
39,4a639726f964a52066c51fe3,2020-05-17,15,2020-05-17,10,Male,Age_40_to_44,104.68794832394244,121,,McDonald's,10732 Research Blvd,Austin,"Austin, TX",TX,US,30.39914846420288,-97.746892,4bf58dd8d48988d16e941735,Fast Food Restaurants,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d16e941735,Fast Food Restaurants,,,556f7a12bd6a75a9903bddb2,McDonald's,,78759,us_all
69,4a639726f964a52066c51fe3,2020-05-22,17,2020-05-22,12,Male,Age_45_to_49,101.9555928596582,143,78754.0,McDonald's,10732 Research Blvd,Austin,"Austin, TX",TX,US,30.39914846420288,-97.746892,4bf58dd8d48988d16e941735,Fast Food Restaurants,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d16e941735,Fast Food Restaurants,,,556f7a12bd6a75a9903bddb2,McDonald's,,78759,us_all
